id_data,id_transaksi,item,tanggal
1,T00001,AT H234,1/1/2018
2,T00002,ST KT PJG S.M.L,1/1/2018
3,T00002,SINGLET M VELVET JUNIOR,1/1/2018
4,T00002,SINGLET S VELVET JUNIOR,1/1/2018
5,T00003,SINGLET XS VELVET JUNIOR,1/1/2018
6,T00003,KK RENDA MAMIMU,1/1/2018
7,T00003,TOPI SET BOBOKO,1/1/2018
8,T00004,SEPATU LITTLE LEE,1/1/2018
9,T00005,BANTAL MAHKOTA,1/1/2018
10,T00005,OKIYO,1/1/2018
11,T00005,GDP SCOT BORDIR,1/1/2018
12,T00006,ST VELVET PJG OBLS.M.L,1/1/2018
13,T00006,ST VELVET PD SML OB,1/1/2018
14,T00007,CL POP ZAHDAN DN,1/1/2018
15,T00008,BJ PDK CHUBIE 3-6,1/1/2018
16,T00008,CELANA PJG LUKI BK,1/1/2018
17,T00009,SINGLET OBL PRINT NB,1/1/2018
18,T00009,VELVET,1/1/2018
19,T00010,BEDONG SET FELICIA,1/1/2018
20,T00011,STR M236,1/1/2018
21,T00012,SARUNG TANGAN BABY YO,1/1/2018
22,T00013,PIGEON 2-IN-1 BOTTLE,1/1/2018
23,T00014,BRUSH,1/1/2018
24,T00014,PIGEON SILICON NIPPLE S,1/1/2018
25,T00014,SEPATU LC,1/1/2018
26,T00015,KK MITI RENDA,1/1/2018
27,T00015,KK WINTEKU,1/1/2018
28,T00015,TOBOT MINI C,1/1/2018
29,T00016,TROLLEY HYPEMARKET,1/1/2018
30,T00017,TEETHER YUKI,1/1/2018
31,T00017,BOTOL SUSU KACA,1/1/2018
32,T00017,LEGING BUKA KAKI BUSA,1/1/2018
33,T00017,BABY CHAIR KANDILA,1/1/2018
34,T00018,ATASAN JJ 3023,1/1/2018
35,T00019,ST COW 829/2911,1/1/2018
36,T00020,AT S85201,1/1/2018
37,T00021,HANDUK CHALIMER BESAR,1/1/2018
38,T00022,CELANA PANJANG TC S,1/1/2018
39,T00022,GURITA IBU,1/1/2018
40,T00023,BABY BATHER SUGAR,1/1/2018
41,T00023,BAJU UINO PDK,1/1/2018
42,T00024,MINYAK KAYU PUTIH CAPLANG ,1/1/2018
43,T00025,MINYAK KAYU PUTIH CAPLANG ,1/1/2018
44,T00026,MINYAK KAYU PUTIH CAPLANG,1/1/2018
45,T00027,STELAN YIKA 2578034,1/2/2018
46,T00027,STELAN YIKA 2578039,1/2/2018
