id,id_transaksi,item,tanggal
143,1JC-22010231005,# KAPI GAGANG KARET 2 1/2 INC,2022/1/2
144,1JC-22010231005,# KASUTAN PLASTIK,2022/1/2
145,1JC-22010231005,ACE 230MM ROLLER COVER BUDGET,2022/1/2
146,1JC-22010231005,# ALAT TEMBAK LEM BOTOL SOLIGEN,2022/1/2
147,1JC-22010231005,LEM PUTIH RAJAWALI 0.8KG,2022/1/2
148,1JC-22010231005,KUAS CAP MATA BAGUS 2 1/2INC,2022/1/2
149,1JC-22010231005,ACE 9 SCRAPER PLASTERBOARD,2022/1/2
150,1JC-22010231005,SERAT FIBER 29CMX46CM,2022/1/2
151,1JC-22010231005,AQUAPROOF ABU-ABU MUDA 062 4KG,2022/1/2
152,1JC-22010231005,SEMEN GRESIK 40KG,2022/1/2
153,1JC-22010231005,GALVALUM G TRUST 20X40X0.35MMX4MTR,2022/1/2
1525,1JC-22010712011,PVC VALVE SOCKET AW 1X3/4,2022/1/7
1526,1JC-22010712011,SEAL TAPE DCOTA 10M NEW 480,2022/1/7
1527,1JC-22010712011,PVC VALVE SOCKET AW 1,2022/1/7
1528,1JC-22010712011,PVC ELBOW AW 3/4,2022/1/7
1529,1JC-22010712011,PVC REDUCER SOCKET AW 1X1 1/4,2022/1/7
1530,1JC-22010712011,PVC FAUCET ELBOW AW 3/4,2022/1/7
1531,1JC-22010712011,# 1/2 KRAN HITAM BONUCCI,2022/1/7
1532,1JC-22010712011,# POMPA SANYO P-H125A 125W OTOMATIS,2022/1/7
1533,1JC-22010712011,# WATER MUR DRAT LUAR SOLIGEN CN007 1X3/4INC,2022/1/7
1534,1JC-22010712011,# BALLVALVE PVC SOLIGEN TAIWAN 3/4 CN001,2022/1/7
1535,1JC-22010712011,# BALLVALVE JIA RONG 1,2022/1/7
1536,1JC-22010712011,TRILLIUN PUREFLO REDUCER AW 1X3/4,2022/1/7
1537,1JC-22010712011,PVC ELBOW AW 1,2022/1/7
1685,1JC-22010731021,SERAT FIBER 29CMX46CM,2022/1/7
1686,1JC-22010731021,ACE 7 SCRAPER PLASTERBOARD,2022/1/7
1687,1JC-22010731021,# ISOLASI/PERBAN GYPSUM,2022/1/7
1688,1JC-22010731021,CAT PARAGON PUTIH 5KG,2022/1/7
1689,1JC-22010731021,# SEKRUP KALSIBOARD 6X1,2022/1/7
1690,1JC-22010731021,# SEKRUP GYPSUM 2X6,2022/1/7
1691,1JC-22010731021,LEM PUTIH RAJAWALI 0.8KG,2022/1/7
1692,1JC-22010731021,ACE 230MM COVER + FRAME ROLLER BUDGET,2022/1/7
1693,1JC-22010731021,AQUAPROOF TERAKOTA 042 4KG,2022/1/7
1694,1JC-22010731021,# KAPI GAGANG KARET 2 INC,2022/1/7
1695,1JC-22010731021,CORNIS A PLUS ADHESIVE 1KG,2022/1/7
1775,1JC-22010812011,# SIKU L STAINLESS STEEL 4X4,2022/1/8
1776,1JC-22010812011,EISEN SPRAY GUN F-75G PTE-0002,2022/1/8
1777,1JC-22010812011,NIPSEA AUTOLUX 66 PE PUTTY BASE 0.98K,2022/1/8
1778,1JC-22010812011,LAKONI FALCON 123 IX LAS MESIN,2022/1/8
1779,1JC-22010812011,GLASS AND TILE DRILL BIT 8X80MM (CD70880),2022/1/8
1780,1JC-22010812011,EISEN RECOIL HOSE 6 METER BLUE (EIS-PNE-0004),2022/1/8
1781,1JC-22010812011,EISEN JAPAN FEMALE PLUG PF 20 ACC-0004,2022/1/8
1782,1JC-22010812011,BOSCH SDS PLUS 1 DRIL BIT6MMX150/210MM 2608680264,2022/1/8
1783,1JC-22010812011,LAKONI COMPRESSOR BASIC 9S,2022/1/8
1784,1JC-22010812011,KANSAI ZINC PHOSPATE PRIMER L.GREY 5KG,2022/1/8
1785,1JC-22010812011,# TARIKAN LACI KNOB SEGI BRABUS (2898),2022/1/8
1786,1JC-22010812011,# ALDO COUPLER 20 SH,2022/1/8
1787,1JC-22010812011,KANSAI RAIN BLOCK GREY 684-001 4KG,2022/1/8
1788,1JC-22010812011,# ISOLASI KERTAS 1 NACI,2022/1/8
1789,1JC-22010812011,"# WD 4X1,2 CUTTING WELL",2022/1/8
1790,1JC-22010812011,# GRENDEL ALUM VINTAGE 2 INC SN,2022/1/8
1791,1JC-22010812011,"VINCITORY ENGSEL STAINLESS 3X2,5X2,5 (304)",2022/1/8
1792,1JC-22010812011,FTALIT KF-544 BLACK DOFF 1KG,2022/1/8
1793,1JC-22010812011,FAN BRAND PAINT THINNER 5LT,2022/1/8
1794,1JC-22010812011,NIPPON PYLOX 270 SURFACER 300CC,2022/1/8
1795,1JC-22010812011,NIPPON PYLOX 128A MATT CLEAR 300CC,2022/1/8
2236,1JC-22010931014,LEM PUTIH RAJAWALI 0.8KG,2022/1/9
2237,1JC-22010931014,# HANDLE BULAT PVC GNP,2022/1/9
2238,1JC-22010931014,ACE 110MM COVER + FRAME MINI ROLLER BUDGET,2022/1/9
2239,1JC-22010931014,# METERAN AIR PVC SNI,2022/1/9
2240,1JC-22010931014,UNNU BALLVALVE PVC PVBV02 3/4,2022/1/9
2241,1JC-22010931014,PIPA WAVIN AW 3/4,2022/1/9
2242,1JC-22010931014,KANSAI PROPERTY BLUE STUDIO 063 5KG,2022/1/9
2243,1JC-22010931014,SEAL TAPE DCOTA 10M NEW 480,2022/1/9
2244,1JC-22010931014,PVC ELBOW AW 3/4,2022/1/9
2245,1JC-22010931014,PVC SOCKET AW 3/4,2022/1/9
2246,1JC-22010931014,LEM PVC TRUGLUE 400GR,2022/1/9
2247,1JC-22010931014,# KRAN AMICO JUMBO 3/4,2022/1/9
2630,1JC-22011112025,# SEKRUP GYPSUM 1 1/4X6,2022/1/11
2631,1JC-22011112025,TRILLIUN PUREFLO ELBOW AW 3/4,2022/1/11
2632,1JC-22011112025,"PIPA WP RED 16-50MTR PN 12,5",2022/1/11
2633,1JC-22011112025,# DOUBLE NEPEL KROM 1/2X1/2,2022/1/11
2634,1JC-22011112025,KLEM 16MM PUTIH WESTPEX,2022/1/11
2635,1JC-22011112025,PVC SOCKET AW 3/4,2022/1/11
2636,1JC-22011112025,ISARPLAS TUBE 45 GR,2022/1/11
2637,1JC-22011112025,# FISHER S6,2022/1/11
2638,1JC-22011112025,S16-1/2F COOPER,2022/1/11
2639,1JC-22011112025,PVC FAUCET ELBOW MI AW 1/2 X 3/4,2022/1/11
2640,1JC-22011112025,UNNU SEAL TAPE 01,2022/1/11
2723,1JC-22011131006,ACE 110MM MINI ROLLER COVER BUDGET,2022/1/11
2724,1JC-22011131006,NIPPON 5400 WALL SEALER 2.5L,2022/1/11
2725,1JC-22011131006,NIPPE 2000-196 POLAR WHITE MIT 1LT,2022/1/11
2726,1JC-22011131006,# THINNER A SPECIAL HI GLOSS BOTOL 1 LITER SRIKAYA,2022/1/11
2727,1JC-22011131006,# ISOLASI KERTAS 1 NACI,2022/1/11
2728,1JC-22011131006,# ISOLASI KERTAS 2 NACI,2022/1/11
2729,1JC-22011131006,ACE 230MM ROLLER COVER BUDGET,2022/1/11
2730,1JC-22011131006,NIPPON HI-EPOXY FILLER BASE WHITE 0.8L,2022/1/11
2731,1JC-22011131006,# KUAS CAT 633 ETERNA 2 1/2 INC,2022/1/11
2732,1JC-22011131006,ACE 110MM COVER + FRAME MINI ROLLER BUDGET,2022/1/11
2733,1JC-22011131006,NIPSEA AUTOLUX 66 PE PUTTY BASE 0.98K,2022/1/11
2734,1JC-22011131006,# KAIN MAJUN PUTIH,2022/1/11
3206,1JC-22011329001,PVC REDUCER SOCKET AW 1X1 1/4,2022/1/13
3207,1JC-22011329001,PVC VALVE SOCKET AW 1X3/4,2022/1/13
3208,1JC-22011329001,PVC VALVE SOCKET AW 1,2022/1/13
3209,1JC-22011329001,SEAL TAPE DCOTA 10M NEW 480,2022/1/13
3210,1JC-22011329001,PVC ELBOW AW 1,2022/1/13
3211,1JC-22011329001,PVC REDUCER SOCKET AW 1 1/4X3/4,2022/1/13
3212,1JC-22011329001,# BALLVALVE PVC SOLIGEN TAIWAN 3/4 CN001,2022/1/13
3213,1JC-22011329001,# BALLVALVE JIA RONG 1,2022/1/13
3214,1JC-22011329001,TRILLIUN PUREFLO ELBOW AW 3/4,2022/1/13
3215,1JC-22011329001,PVC TEE D 1 1/4,2022/1/13
3216,1JC-22011329001,# WATER MUR DRAT LUAR SOLIGEN CN007 1X3/4INC,2022/1/13
3217,1JC-22011329001,PIPA WAVIN AW 3/4,2022/1/13
