id,id_transaksi,item,tanggal
8,1JC-22010212004,# DYNABOLT 8X40,2022/1/2
9,1JC-22010212004,# PAKU RIVET 450,2022/1/2
10,1JC-22010212004,SHEET ROLL ZINCALUME 0.30MM X 914MM KENCANA,2022/1/2
11,1JC-22010212004,# KAWAT LAS NIKKO STEEL RD-460 2MM,2022/1/2
34,1JC-22010212018,# KAPI SET GREATWALL,2022/1/2
35,1JC-22010212018,# KLEM SELANG 3/4,2022/1/2
36,1JC-22010212018,# KAWAT LAS NIKKO STEEL RD-460 2MM,2022/1/2
37,1JC-22010212018,# ISAMU POLICO HIJAU+OBAT 1KG,2022/1/2
38,1JC-22010212018,DITON MOTORCYCLE SPECIAL 9102 WHITE 400CC,2022/1/2
39,1JC-22010212018,# KUAS CAT 633 ETERNA 1 1/2 INC,2022/1/2
40,1JC-22010212018,CAT SAMURAI FLAT BLACK 109A 400ML (KUROBRUSH),2022/1/2
56,1JC-22010212031,# S TAPPING JP 8X2,2022/1/2
57,1JC-22010212031,HOLLOW H TUB 20X40X0.3MMX4MTR,2022/1/2
58,1JC-22010212031,# SEKRUP GYPSUM 2X6,2022/1/2
59,1JC-22010212031,# TRIPLEK FULL MERANTI UK.5X4X8,2022/1/2
73,1JC-22010212044,L16 COOPER,2022/1/2
74,1JC-22010212044,L16-1/2F COOPER,2022/1/2
75,1JC-22010212044,SEAL TAPE ONDA 10M 12MM ST,2022/1/2
76,1JC-22010212044,PIPA PEX 16 - 50 MTR COLD (PIPA DINGIN),2022/1/2
77,1JC-22010212044,T16 COOPER,2022/1/2
89,1JC-22010229002,# TRIPLEK SEMI UK.15X4X8,2022/1/2
90,1JC-22010229002,# TRIPLEK SENGON UK.3X4X8MM,2022/1/2
91,1JC-22010229002,BINTANG THINNER A SPECIAL 1 LITER,2022/1/2
92,1JC-22010229002,DEMPOL ISAMU 014 1KG,2022/1/2
94,1JC-22010229004,KUAS CAP MATA BAGUS 1INC,2022/1/2
95,1JC-22010229004,NIPPON WOODSTAIN 102 AKASIA 1L,2022/1/2
96,1JC-22010229004,# KUAS CAT 633 ETERNA 2 INC,2022/1/2
97,1JC-22010229004,#THINNER B BOTOL 1LT SRIKAYA EMAS,2022/1/2
98,1JC-22010229004,#HCL SUPER KERAS PEMBERSIH KERAMIK 1LT (BTL PLAS),2022/1/2
101,1JC-22010229006,# KAWAT PARABOLA BAJA PUTIH (NYAMUK) 10MTR,2022/1/2
102,1JC-22010229006,#THINNER B BOTOL 500 FULL SRIKAYA EMAS,2022/1/2
103,1JC-22010229006,SEAL TAPE ONDA 10M 12MM ST,2022/1/2
104,1JC-22010229006,#LEM CASTOL 21CCM,2022/1/2
105,1JC-22010229006,TUTUP PAGAR 08X1000X40M A-CC COKLAT (MASTERLINE),2022/1/2
106,1JC-22010229006,# SEKRUP GYPSUM 1X6,2022/1/2
107,1JC-22010229006,# KUAS CAT 633 ETERNA 1 INC,2022/1/2
108,1JC-22010229006,"# KABEL TIES HITAM 3,6X250 PRIMERO",2022/1/2
113,1JC-22010229009,SEAL TAPE ONDA 10M 12MM ST,2022/1/2
114,1JC-22010229009,# BAUT KUNING 6X15,2022/1/2
115,1JC-22010229009,# ALDO KIKIR 1/2 BULAT 6INC (HALUS),2022/1/2
116,1JC-22010229009,HI-S RING VER M.6 (1/4INC) PTH PCS,2022/1/2
143,1JC-22010231005,# KAPI GAGANG KARET 2 1/2 INC,2022/1/2
144,1JC-22010231005,# KASUTAN PLASTIK,2022/1/2
145,1JC-22010231005,ACE 230MM ROLLER COVER BUDGET,2022/1/2
146,1JC-22010231005,# ALAT TEMBAK LEM BOTOL SOLIGEN,2022/1/2
147,1JC-22010231005,LEM PUTIH RAJAWALI 0.8KG,2022/1/2
148,1JC-22010231005,KUAS CAP MATA BAGUS 2 1/2INC,2022/1/2
149,1JC-22010231005,ACE 9 SCRAPER PLASTERBOARD,2022/1/2
150,1JC-22010231005,SERAT FIBER 29CMX46CM,2022/1/2
151,1JC-22010231005,AQUAPROOF ABU-ABU MUDA 062 4KG,2022/1/2
152,1JC-22010231005,SEMEN GRESIK 40KG,2022/1/2
153,1JC-22010231005,GALVALUM G TRUST 20X40X0.35MMX4MTR,2022/1/2
162,1JC-22010231010,ACE 230MM ROLLER COVER BUDGET,2022/1/2
163,1JC-22010231010,#THINNER B BOTOL 500 FULL SRIKAYA EMAS,2022/1/2
164,1JC-22010231010,NIPPON VINILEX 300 WHITE 5KG,2022/1/2
165,1JC-22010231010,BEE BRAND 1000-1020 DELL OSSIDO 0.9L,2022/1/2
180,1JC-22010231019,# AMPLAS ROLL SOLIGEN 400,2022/1/2
181,1JC-22010231019,# SEKRUP GYPSUM 1 1/2X6,2022/1/2
182,1JC-22010231019,"# SIKU ALMINI 5/8 (1,5CMX6M) LIST U",2022/1/2
183,1JC-22010231019,# AMPLAS ROLL PRIMERO 150,2022/1/2
232,1JC-22010231053,# ISAMU POLICO HIJAU+OBAT 1KG,2022/1/2
233,1JC-22010231053,# THINNER A SPECIAL HI GLOSS BOTOL 1 LITER SRIKAYA,2022/1/2
234,1JC-22010231053,# AMPLAS DUCO FUJI STAR NO. 220,2022/1/2
235,1JC-22010231053,# AMPLAS DUCO FUJI STAR NO. 400,2022/1/2
236,1JC-22010231053,# AMPLAS DUCO FUJI STAR NO. 80,2022/1/2
240,1JC-22010231060,# KUNCI RING 8X10 CPT NATIONAL,2022/1/2
241,1JC-22010231060,# OBENG BOLAK BALIK AMERIKA 4 INC,2022/1/2
242,1JC-22010231060,LEM DEXTONE 5 MENIT PLASTIC&STEEL 48GR,2022/1/2
243,1JC-22010231060,SYNOTT KABEL TIES PUTIH 3X150,2022/1/2
244,1JC-22010231060,# ISOLASI NATIONAL UK.3/4,2022/1/2
245,1JC-22010231060,#SODA API BKS KECIL 0.4KG,2022/1/2
254,1JC-22010312005,VISER X8 (FISHER),2022/1/3
255,1JC-22010312005,SHERLOCK MATA BOR BETON 8MM (SH.HSSMN-8),2022/1/3
256,1JC-22010312005,ENZO KNIFE SIKAT TANGAN WE-0019,2022/1/3
257,1JC-22010312005,NIPPON PYLOX 109A BLACK FLAT 300CC,2022/1/3
258,1JC-22010312005,# TAPPING JF 10X2,2022/1/3
259,1JC-22010312006,VINILEX PRO PASTEL BASE 4.5K,2022/1/3
260,1JC-22010312006,# AMPLAS ROLL PRIMERO 100,2022/1/3
261,1JC-22010312006,# KAPI GAGANG KARET 4 INC,2022/1/3
262,1JC-22010312006,NIPPON MATEX 3148 CEILING WHITE 4.5K,2022/1/3
263,1JC-22010312006,LEM PUTIH RAJAWALI 0.8KG,2022/1/3
264,1JC-22010312006,# KAPI GAGANG KARET 2 INC,2022/1/3
265,1JC-22010312006,SEMEN PUTIH TIGA RODA WC 1KG,2022/1/3
266,1JC-22010312007,SEMEN PUTIH TIGA RODA WC 1KG,2022/1/3
267,1JC-22010312007,# PAKU BETON 2,2022/1/3
268,1JC-22010312007,L16-1/2F COOPER,2022/1/3
269,1JC-22010312007,L16 COOPER,2022/1/3
272,1JC-22010312010,NIPPE 2000-480 MATT BLACK 1LT,2022/1/3
273,1JC-22010312010,NIPPON THINNER A SPECIAL 1L,2022/1/3
274,1JC-22010312010,# KUAS KING AMERIKA 2 1/2 PUTIH,2022/1/3
275,1JC-22010312010,SIKA TILE GROUT CREAM 25X1KG (PENGISI NAT KERAMIK),2022/1/3
279,1JC-22010312012,# KUAS CAT 633 ETERNA 2 INC,2022/1/3
280,1JC-22010312012,# KUAS CAP MATA 1 1/2,2022/1/3
281,1JC-22010312012,#THINNER B BOTOL 1LT SRIKAYA EMAS,2022/1/3
282,1JC-22010312012,BEE BRAND 1000-666 MATT BLACK 0.9L,2022/1/3
284,1JC-22010312014,TRILLIUN PUREFLO ELBOW AW 1,2022/1/3
285,1JC-22010312014,PIPA WAVIN AW 1,2022/1/3
286,1JC-22010312014,# PAKU BETON 1,2022/1/3
287,1JC-22010312014,LEM PVC TRUGLUE 400GR,2022/1/3
288,1JC-22010312014,PVC FAUCET ELBOW MI AW 1/2 X 3/4,2022/1/3
289,1JC-22010312014,UNNU SEAL TAPE 01,2022/1/3
290,1JC-22010312014,PVC ELBOW AW 3/4,2022/1/3
291,1JC-22010312014,PVC REDUCER SOCKET AW 1X3/4,2022/1/3
292,1JC-22010312014,PVC TEE AW 1,2022/1/3
293,1JC-22010312014,ORIS KLEM PIPA OCP 3/4,2022/1/3
305,1JC-22010312024,# AMPLAS DUCO FUJI STAR NO. 400,2022/1/3
306,1JC-22010312024,NIPPON WOODSTAIN 101 WALNUT 1L,2022/1/3
307,1JC-22010312024,# KUAS CAT 633 ETERNA 2 1/2 INC,2022/1/3
308,1JC-22010312024,# AMPLAS DUCO TOYOSAKI 180,2022/1/3
312,1JC-22010312028,TUTUP PAGAR 08X1000X40M A-CC PUTIH (MASTERLINE),2022/1/3
313,1JC-22010312028,NIPPON PYLOX PB116 BROWN 0.3L,2022/1/3
314,1JC-22010312028,# ISOLASI KERTAS 2 NACI,2022/1/3
315,1JC-22010312028,# CAT MINYAK AGA PUTIH 100GR (ENAMEL PAINT),2022/1/3
316,1JC-22010312028,# AMPLAS DUCO FUJI STAR NO. 150,2022/1/3
317,1JC-22010312028,# KUAS CAT 633 ETERNA 1 1/2 INC,2022/1/3
347,1JC-22010312052,NIPPON SPOT-LESS PASTEL BASE 2.35L,2022/1/3
348,1JC-22010312052,KUAS ROLLER NP 9INC 1000,2022/1/3
349,1JC-22010312052,NIPPON MATEX PUTTY 4K,2022/1/3
350,1JC-22010312052,ACE 7 SCRAPER PLASTERBOARD,2022/1/3
358,1JC-22010312063,# SEKRUP GYPSUM 3/4X6,2022/1/3
359,1JC-22010312063,# KUNCI LACI FERZA C,2022/1/3
360,1JC-22010312063,"KABEL SUPREME NYM 2X1,5 100M",2022/1/3
361,1JC-22010312063,# TARIKAN LACI BULAN 12CM HITAM POLOS,2022/1/3
362,1JC-22010312064,# BAK CAT MIRING PINE HILL HIJAU,2022/1/3
363,1JC-22010312064,ALDO ORING KIT SET 225 PCS (INCH),2022/1/3
364,1JC-22010312064,#SODA API BKS KECIL 0.4KG,2022/1/3
365,1JC-22010312064,NIPPON VINILEX 300 WHITE 5KG,2022/1/3
366,1JC-22010312064,KUAS CAP MATA BAGUS 4INC,2022/1/3
367,1JC-22010312065,GALVALUM G TRUST 20X40X0.35MMX4MTR,2022/1/3
368,1JC-22010312065,RENG 0.45MMX6MTR KENCANA KECIL LIPAT,2022/1/3
369,1JC-22010312065,GALVALUM G TRUST 40X40X0.35MMX4MTR,2022/1/3
370,1JC-22010312065,SIKA TILE GROUT WHITE 25X1KG (PENGISI NAT KERAMIK),2022/1/3
390,1JC-22010329011,# AMPLAS DUCO FUJI STAR NO. 180,2022/1/3
391,1JC-22010329011,PAKU 2INC 30KG,2022/1/3
392,1JC-22010329011,PAKU 3INC 30KG,2022/1/3
393,1JC-22010329011,NIPPON WOODSTAIN 103 PALISANDER 1L,2022/1/3
394,1JC-22010329011,KAWAT BENDRAT 20KG,2022/1/3
395,1JC-22010329011,# KUAS CAT 633 ETERNA 3 INC,2022/1/3
408,1JC-22010329018,NIPPON ELASTEX DEEP BASE 4K,2022/1/3
409,1JC-22010329018,NIPPON VINILEX TINTING PASTEL BASE 25KG,2022/1/3
410,1JC-22010329018,METALIC PAINT WATERBASE 3100 REAL GOLD 0.3L,2022/1/3
411,1JC-22010329018,KUAS ROLLER NP 9INC 1000,2022/1/3
420,1JC-22010329023,ACE 110MM MINI ROLLER COVER BUDGET,2022/1/3
421,1JC-22010329023,VINILEX (WITH SILVER ION) PASTEL BASE 25KG,2022/1/3
422,1JC-22010329023,WEATHERBOND SOLAREFLECT PASTEL BASE 2.35L,2022/1/3
423,1JC-22010329023,KANSAI PROPERTY BROWN STAGE 025 5KG,2022/1/3
426,1JC-22010329026,LEM DEXTONE GLASS&METAL T.WHITE NEUTRAL 300ML,2022/1/3
427,1JC-22010329026,ENZO KNIFE SIKAT TANGAN WE-0019,2022/1/3
